NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Doha Bar;4.3;678 comentários;R. Firmino Rocha Aguiar, 1845 - Guararapes, Fortaleza - CE, 60810-165;$$;3,5 horas;bar
Fuxiko beer;4.4;490 comentários;R. Almeida Prado, 1013 - Cocó, Fortaleza - CE, 60192-270;$$;1-3 horas;bar
Bulls Beer House Parquelândia;4.5;3.658 comentários;R. Gustavo Sampaio, 800 - Parquelândia, Fortaleza - CE, 60450-500;$$;;bar
Santa Gela;4.4;752 comentários;R. Eduardo Garcia, 282 - Aldeota, Fortaleza - CE, 60150-100;$$;;bar
Teresa & Jorge;4.4;2.076 comentários;R. João Cordeiro, 540 - Centro, Fortaleza - CE, 60110-300;$$;45 min a 3 h;bar
Bomtequim Bar;4.6;766 comentários;Rua Monsenhor Furtado, 2074 - Bela Vista, Fortaleza - CE, 60441-750;$$;;bar
Bar Seu Zé - Bodega;4.7;355 comentários;R. Carlos Vasconcelos, 2329-2347 - 2329-2347 - Aldeota, Fortaleza - CE, 60115-171;$$;;bar
Moita Bar;4.0;331 comentários;R. Ildefonso Albano, 923 - Aldeota, Fortaleza - CE, 60115-125;$$;;bar
Lobby Bar;4.9;7 comentários;Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121;Bar;;bar
Bar dos Otários;4.5;36 comentários;Av. Central, 219 - Cidade 2000, Fortaleza - CE, 60190-611;Bar;;bar
KUKUKAYA;4.3;732 comentários;Av: Pontes Vieira, 55 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60055-172;$$;1,5-5 horas;bar
Mormaço Bar;4.7;144 comentários;Rua Isac Meyer, 345 - Aldeota, Fortaleza - CE, 60160-200;Bar;1,5-3 horas;bar
Viva Varjota Bar Restô;4.1;37 comentários;R. Frederico Borges, 192 - Meireles, Fortaleza - CE, 60175-040;Bar;;bar
Bar do Helano;4.6;186 comentários;R. Carlos Vasconcelos, 2310 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-171;$$;;bar
Serpentina Bar e Cultura;4.5;620 comentários;Av. Heráclito Graça, 760 - Centro, Fortaleza - CE, 60140-060;$$;;bar
Barraca do Joca;4.1;684 comentários;avenida beiramar 3101 b25A - Meireles, Fortaleza - CE, 60165-121;$$;1,5-3,5 horas;bar
Bar do Railson - Aldeota;4.3;762 comentários;R. Costa Barros, 2157 - Aldeota, Fortaleza - CE, 60180-181;$$;3 horas;bar
Bar do Reggae;4.3;23 comentários;R. Tremembés, 108 - Praia de Iracema, Fortaleza - CE, 60060-250;Bar;;bar
Autoral Comedy Bar;4.7;432 comentários;Av. Santos Dumont, 2035 - Aldeota, Fortaleza - CE, 60000-000;$$;2,5 horas;bar
Bar do Mincharia;4.3;1.022 comentários;R. dos Pacajús, 5 - Praia de Iracema, Fortaleza - CE, 60060-520;$$;1-3 horas;bar
Ancho Gastrobar;4.6;517 comentários;R. Andrade Furtado, 2800 - Manuel Dias Branco, Fortaleza - CE, 60191-345;Restaurante;1,5-3 horas;bar
Praiow Bar da Praia;4.4;342 comentários;Av. Clóvis Arrais Maia, 5515 - Praia do Futuro II, Fortaleza - CE, 60183-696;$$;;bar
Bar do Paraíba;4.4;2.600 comentários;R. Paulino Nogueira, 69 - Benfica, Fortaleza - CE, 60020-270;$$;;bar
O Chopp do Bixiga;4.4;1.594 comentários;R. Dragão do Mar, 108 - Centro, Fortaleza - CE, 60060-390;$$;;bar
Barbarians Pub;4.4;2.548 comentários;R. Waldery Uchôa, 42 - Benfica, Fortaleza - CE, 60020-110;$$;;bar
Sr. Petisco Bar e Petiscaria;4.3;1.211 comentários;R. Barão de Aratanha, 1251 - Fátima, Fortaleza - CE, 60050-070;$$;;bar
Brewstone Pub;4.6;441 comentários;Rua Marvin, 1060 - Parque Manibura, Fortaleza - CE, 60821-790;Cervejaria;;bar
Brasileirinho Sport Bar;1.0;2 comentários;Rua Frei Mansueto, 1565 - Varjota, Fortaleza - CE, 60175-070;Bar;;bar
Bar Cultural Lions;4.6;176 comentários;Rua General Bezerril, 376 - térreo - Centro, Fortaleza - CE, 60055-100;$$;;bar
Bar Do Sitônio;4.5;187 comentários;Av. Edilson Brasil Soares, 2221 - Edson Queiroz, Fortaleza - CE, 60834-005;$;;bar
Barraquinha Do Resenha;5.0;3 comentários;Av. Beira Mar, 4320 - Meireles, Fortaleza - CE, 60165-121;Bar;;bar
Fazendinha Country Bar;4.3;1.853 comentários;R. Gustavo Sampaio, 2500 - Parquelândia, Fortaleza - CE, 60455-001;$$$;;bar
Junior's Bar;;;Rua Paula Ney, 855 - Aldeota, Fortaleza - CE, 60140-200;;;bar
Fava's Bar e Petiscos;4.4;674 comentários;R. Barão de Aratanha, 1050 - Lj.11 - José Bonifacio, Fortaleza - CE, 60050-071;$$;1,5-3 horas;bar
Gandaia Bar & Club;4.6;353 comentários;R. Dragão do Mar, 72 - Praia de Iracema, Fortaleza - CE, 60060-195;$$;3-5,5 horas;bar
Bar do Railson;4.1;2.590 comentários;R. Juvenal de Carvalho, 864 - Fátima, Fortaleza - CE, 60050-220;$$;15 min a 2 h;bar
Boteco do Arlindo;4.3;528 comentários;R. Carlos Gomes, 83 - José Bonifacio, Fortaleza - CE, 60040-230;$$;;bar
Covil Rock'n Bar;4.7;231 comentários;Av. Treze de Maio, 2382 - Fátima, Fortaleza - CE, 60040-531;$;;bar
Leriado Bar;1.0;Um comentário;Rua Dr. Thompson Bulcão, 709 - Loja 04 - Luciano Cavalcante, Fortaleza - CE, 60810-460;Bar e Grill;;bar
Jardins Lounge Bar;4.6;1.888 comentários;Av. Oliveira Paiva, 2061 - Cidade dos Funcionários, Fortaleza - CE, 60822-131;$$;;bar
Snake Bar;4.8;140 comentários;R. Carapinima, 1994 - Benfica, Fortaleza - CE, 60015-290;Bar;;bar
Moreno's Bar;4.1;160 comentários;Av. Duque de Caxias, 483 - Centro, Fortaleza - CE, 60035-110;$;1-3 horas;bar
Florida Bar;4.2;441 comentários;Rua Dom Joaquim, 68 - Centro, Fortaleza - CE, 60110-100;$$;25 min a 2 h;bar
Kareka's Bar;4.0;45 comentários;Av. Filomeno Gomes, 100 - Jacarecanga, Fortaleza - CE, 60010-280;$;;bar
Bar e Lanchonete;;;R. Ediberto Oria, 28 - Vicente Pinzon, Fortaleza - CE, 60182-095;;;bar
Consultório Bar;4.0;2 comentários;Av. César Cals, 950 - Vicente Pinzon, Fortaleza - CE, 60182-035;Bar;;bar
Maloca Bar;5.0;3 comentários;R. Liberato Barroso, 705 - Centro, Fortaleza - CE, 60030-160;Bar;;bar
Bar da Cidade;4.4;502 comentários;Av. Desembargador Gonzaga, 706 - Cidade dos Funcionários, Fortaleza - CE, 60823-012;$$;;bar
Marcelo Bar;4.2;50 comentários;Rua Dona Leopoldina, 632 - Centro, Fortaleza - CE, 60110-000;$;;bar
Alenca's Bar;4.3;1.551 comentários;R. Gustavo Sampaio, 692 - Parquelândia, Fortaleza - CE, 60455-000;$$;;bar
Petiskyne Bar e Petiscaria;4.4;669 comentários;Av. Desembargador Gonzaga, 1429 - Cidade dos Funcionários, Fortaleza - CE, 60823-005;$$;;bar
Buddies Bar;4.9;27 comentários;Rua Coronel Sólon, 460 - José Bonifacio, Fortaleza - CE, 60040-270;Bar e Grill;;bar
De Vóisse Bar e Karaokê;4.4;630 comentários;R. dos Pracinhas, 937 - Benfica, Fortaleza - CE, 60015-331;$$;;bar
Mor Bar e Espetaria;5.0;9 comentários;Av. Antônio Sales, 1340 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-100;Bar;;bar
Budega's Rock'n Bar;4.8;24 comentários;Rua Padre Francisco Pinto, 358 - Benfica, Fortaleza - CE, 60020-290;Bar;;bar
Papudim Bar e Restaurante;4.5;156 comentários;Praça Pelotas, 38 - Centro, Fortaleza - CE, 60110-210;Bar;2-4 horas;bar
Bar Martins;4.5;510 comentários;R. Paulino Nogueira, 39 - Loja 01 - Benfica, Fortaleza - CE, 60020-270;$;1-3 horas;bar
Bar O Camocim;4.5;104 comentários;R. Padre Mororó, 1012 - Centro, Fortaleza - CE, 60015-220;$;30 min a 2 h;bar
88 Bier Bar, Pub, Rock e Happy Hour;4.7;1.132 comentários;Av. Humberto Monte, 2535 - Bela Vista, Fortaleza - CE, 60440-593;$$;;bar
Rock 80;4.3;210 comentários;R. Raimundo Arruda, 54A - Parque Araxá, Fortaleza - CE, 60450-500;$$;2-4 horas;bar
Pitombeira Bar;4.2;1.586 comentários;R. Padre Miguelino, 2750 - Fátima, Fortaleza - CE, 60040-300;$;;bar
Autorama Cruising Bar;3.9;14 comentários;R. Major Facundo, 1193 - Centro, Fortaleza - CE, 60025-101;Bar gay;1-2,5 horas;bar
Barraca do França;3.8;38 comentários;Meireles, Fortaleza - CE, 60165-121;Bar;;bar
Dock 85;4.6;17 comentários;Av. Dioguinho, 4740 - Praia do Futuro, Fortaleza - CE, 60183-706;Bar;;bar
LOCANDA PUB;4.3;17 comentários;Av. Rui Barbosa, 1295 - Aldeota, Fortaleza - CE, 60115-221;Bar de cervejas;;bar
Calçadinha Bar;4.0;16 comentários;R. Carlos Vasconcelos, 692 - Meireles, Fortaleza - CE, 60115-170;Bar;1,5-3,5 horas;bar
Bar do Vinil;4.5;286 comentários;R. Vasco da Gama, 920-A - Montese, Fortaleza - CE, 60420-470;$$;1-2,5 horas;bar
Vila Camaleão Meireles: Bar, Pagode em Fortaleza CE;4.4;1.415 comentários;Av. Barão de Studart, 671 - Meireles, Fortaleza - CE, 60120-000;$$;;bar
Bambs Bar e Restaurante;4.7;30 comentários;R. Floriano Peixoto, 1166 - Centro, Fortaleza - CE, 60025-131;Bar;25 min a 2 h;bar
Taberna Bar;4.4;469 comentários;Rua Marechal Deodoro, 1070 - Benfica, Fortaleza - CE, 60020-061;$;1-3 horas;bar
Giz Cozinha Boêmia;4.6;1.581 comentários;Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310;Restaurante brasileiro;1,5-3,5 horas;bar
Barzinho Menos é Mais;5.0;4 comentários;R. Nené Gonçalves - Dias Macedo, Fortaleza - CE, 60860-350;Bar;;bar
Bar Belissima;4.1;27 comentários;R. Lineu Jucá, 115 - Vila União, Fortaleza - CE, 60420-090;Bar;;bar
Play Sport Bar;4.0;372 comentários;Rua Nadir Saboya, 715 - Lagoa Sapiranga (Coité), Fortaleza - CE, 60833-344;$$;;bar
Texas Bar;4.5;155 comentários;R. Pedro de Queirós, 838 - Amadeu Furtado, Fortaleza - CE, 60450-225;Bar;;bar
Bar dos Africanos;4.8;19 comentários;Av. Domingos Olímpio, 123 - José Bonifacio, Fortaleza - CE, 60040-080;Bar de cervejas;;bar
Bar Da Amizade;5.0;2 comentários;R. Vinte e Cinco de Março, 1068 - Centro, Fortaleza - CE, 60060-120;Bar;;bar
CONSULTORIA DE BARES E RESTAURANTES;4.4;522 comentários;R. João Perdigão Nogueira, 70 Altos - Papicu, Fortaleza - CE, 60181-295;$$;;bar
The Dias Bar;4.6;13 comentários;Av. José Bastos, 3295 - Damas, Fortaleza - CE, 60431-086;Bar;;bar
Bar da Loura;3.8;227 comentários;R. Paulino Nogueira, 39 - Loja 3 - Benfica, Fortaleza - CE, 60020-270;$;;bar
Republic Bar e Bistrô;4.3;104 comentários;R. Waldery Uchôa, 188 - Benfica, Fortaleza - CE, 60020-110;Restaurante italiano;1,5-3,5 horas;bar
Danilo S Bar;4.5;10 comentários;R. Gustavo Sampaio, 1151 - Parquelândia, Fortaleza - CE, 60455-001;Bar;;bar
Buteco Vangrill's;4.7;27 comentários;Rua Mestre Rosa, 176 - José Bonifacio, Fortaleza - CE, 60040-250;Bar;;bar
Boteco do Illa;4.2;109 comentários;Av. Beira Mar, 1800 - Praia de Iracema, Fortaleza - CE, 60165-065;Bar;1-2,5 horas;bar
Bar Da Fran;5.0;Um comentário;Av. Visconde do Rio Branco, 1321 - Centro, Fortaleza - CE, 60055-170;Bar;;bar
Vila Bar;4.3;11 comentários;R. Delmiro Gouvêia, 400 - Varjota, Fortaleza - CE, 60175-090;Bar;;bar
Seu Gentil bar e restô;4.7;109 comentários;R. João Gentil, 291 - Benfica, Fortaleza - CE, 60020-100;Bar;1-3 horas;bar
Boteco Do Rei;5.0;Um comentário;R. Jamaica, 200 - Antonio Diogo, Fortaleza - CE, 60183-700;Bar;;bar
Cearoca Bar e Restaurante;4.3;1.510 comentários;R. Braz de Francesco, 520 - São Gerardo, Fortaleza - CE, 60355-633;$$;25 min a 2 h;bar
Boteco da Vila;4.4;317 comentários;R. Pereira Filgueiras, 1111 - Aldeota, Fortaleza - CE, 60160-150;Bar e Grill;;bar
Barraca da Boa;4.2;7.972 comentários;Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121;$$;;bar
Bar do Aracati;4.0;4 comentários;Rua Dr. Atualpa Barbosa Lima, 125 - Praia de Iracema, Fortaleza - CE, 60060-370;Bar;;bar
Bar do Zé Bezerra;4.4;369 comentários;Rua Dom Manuel de Medeiros, 71 - Parque Araxá, Fortaleza - CE, 60450-605;$;;bar
Rancho do Poço;;;R. Oscar Benevides, 90 - Mondubim, Fortaleza - CE, 60762-270;$$;;bar
The Bar | Pub;4.5;3.103 comentários;Av. Lineu Machado, 1514 - João XXIII, Fortaleza - CE, 60525-566;$$;;bar
Moleskine Gastrobar;;;Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310;$$$;;bar
Abaeté Boteco;4.6;743 comentários;R. Barão de Aracati, 2899 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-082;$$;;bar
Torcida Fiel CE;4.7;92 comentários;R. Castro Alves, 513 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar
Villa Roma Pizza Bar;4.3;613 comentários;Rua Professor Dias da Rocha, 430 - Meireles, Fortaleza - CE, 60160-140;Pizzaria;1-3 horas;bar
Dizzy - Bar & Specialty Market;5.0;3 comentários;Rua Ildefonso Albano 195 Loja 3 Meireles - Praia de Iracema, Fortaleza - CE, 60115-000;Bar;;bar
Vibe 085;4.6;172 comentários;Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220;$$;2-4,5 horas;bar
CASA VIP;;;R. Melvin Jones, 65 - Centro, Fortaleza - CE, 60055-450;;;bar
